x,y,z
37.848609001637826,84.41985617765869,a
65.38601887685834,47.05954626412182,a
80.55440165415708,72.06589183177971,a
126.60084866809062,89.85778411915368,a
51.444934508912496,89.80840115216517,a
53.0025349518912,101.31157493926298,a
80.80652437009486,99.69217443473445,a
65.50343417693317,131.97609447175876,a
109.75114567486267,86.35244872361079,a
110.91330886976708,199.09767848909655,a
133.15841639024782,148.61816836390676,a
178.5259807031609,160.66969141562925,a
180.80988091305906,248.58818415444273,a
159.88707298326275,263.3092550526009,a
177.32659721356598,247.09101400182496,a
209.5936925706067,249.4551547646891,a
145.8451371624584,286.77207786183385,a
171.72241607597712,265.3972703363622,a
162.3803541169854,284.64773951205814,a
231.38163545164684,329.38797507766213,a
231.26441663902335,312.8657636760944,a
243.59119766409685,336.1937018943405,a
253.41446120903146,350.6664532475134,a
247.39248705336587,321.3081617923799,a
303.63922234300156,370.4793270537801,a
302.1898839148496,348.9696411669614,a
352.72515758532325,315.3696300150764,a
303.773721630006,331.96014329459683,a
383.0698413464413,406.8709299252571,a
420.9487245359776,331.7986103815937,a
389.4950920087052,347.0065897107873,a
415.58796738999786,359.636345946077,a
432.7729106402947,365.25541179964955,a
455.96104304966735,350.7115396462882,a
494.6867370613844,366.2019557274445,a
541.8090483044467,376.81122336597747,a
515.5255875706047,330.9258844856531,a
558.4555451692323,324.03858224531626,a
538.3724015623275,270.6226992327264,a
539.6121773082945,245.06375819210086,a
556.7211561042532,248.90126034658317,a
560.3508511454288,196.24415660878805,a
550.0455718062898,218.34576163123933,a
568.9868505280851,217.4407259542993,a
564.8132195511957,157.52461375263408,a
580.3055740225435,177.0860952588012,a
603.8607371272626,148.55869929165044,a
590.2576976341307,114.40218253248503,a
609.5702780262345,96.76551081734704,a
560.6078772505704,110.61049379247373,a
578.6830695992091,89.8884763339326,a
565.0352060133642,111.3357237039072,a
595.9749366456869,89.69476825437658,a
599.551733282988,89.29327798424902,a
599.7628696119501,42.05805641365811,a
678.4881750722345,83.56862649163799,a
601.6627602584854,107.06236261588856,a
617.8946436683553,58.388651824308056,a
596.7470133507935,116.35182272567863,a
578.567797369978,156.65338458940778,a
636.4110081309685,204.9164570442553,a
586.6156120863234,165.0073735630911,a
559.4527936263622,212.14449386270297,a
571.3570802011631,181.14952965330923,a
571.1282909853486,246.08680546988444,a
583.936029429941,273.31742437038986,a
593.2262334458195,221.06647872254678,a
549.6824645652716,223.85079802407387,a
562.0734383385893,270.7765586808334,a
552.34989248801,215.24701637211786,a
523.2973357627023,271.22020184874316,a
568.3696490125255,285.00163986271457,a
521.6886549244468,334.5891341452742,a
551.0413722555768,311.9829406894464,a
547.3460148079367,293.58330230099983,a
527.2891588212451,333.22216694962634,a
492.1134753287788,329.294691318328,a
531.1820528207224,328.19700220837746,a
528.4914802745543,357.60598537897664,a
491.9930632907421,363.9266452888672,a
467.31615201200736,358.318965605528,a
487.40478446265337,357.1225011299414,a
467.5269624267052,370.6766668785714,a
503.92164317225485,367.8978829946583,a
478.5350945488616,381.0677369013518,a
468.1271774015492,376.22530326446423,a
492.14419289460466,370.72987436664977,a
447.0443492752796,359.910385286946,a
466.4597901881425,346.61611988843714,a
444.10307869946087,355.54254392243706,a
415.17684883993445,390.7264048036434,a
440.2609472051719,323.59862566055835,a
413.4936937452523,359.914507241692,a
399.21637664132686,400.8338431874133,a
364.5776452008778,429.7293886250011,a
356.34051911374064,404.9611457893985,a
360.0541964880061,356.37607406124306,a
337.4179121918671,362.79625407885374,a
368.0295508245147,383.5372605368869,a
340.06529257271984,358.88003496152,a
347.16494446753086,391.4264454578551,a
260.09916874465506,323.6148729494241,a
354.7780394035874,367.3297226028207,a
305.9240688913535,344.30650397711406,a
299.2056875233919,293.3973930344023,a
291.79409484418113,301.6433249444039,a
299.69946793171226,295.4822840677408,a
268.9883931716698,357.3690273708692,a
241.78552288603973,311.9819183641615,a
292.870167958139,348.4009386436677,a
288.42255135065614,335.86440693820646,a
265.7591755083527,274.26967017064464,a
232.6048283847902,332.73982069063317,a
267.6792908045255,284.53844223531104,a
197.05188584851678,314.5446799284126,a
274.6800378471653,314.8513185356236,a
220.33835445824502,266.16853984476336,a
214.1022586173594,283.95929397647507,a
195.54202890023006,287.46860451312955,a
200.99794000336973,294.5585900595651,a
153.93586397741228,266.7396971057044,a
172.51734258844513,246.96069746604746,a
205.29155820909705,225.04991376154834,a
135.24432611558657,205.2381421755781,a
183.60712190655082,215.768252014395,a
97.08465562940083,176.81957346484603,a
109.8683798333055,186.19214010502844,a
139.30120827563118,157.194664035014,a
141.11172212113263,160.23953773993458,a
117.9854828751132,120.79163712607169,a
114.73038433903967,166.2404737238033,a
131.09200956738042,133.24153777582893,a
106.98922240411903,119.83078190939653,a
145.11281416509274,109.0706568900357,a
94.34792671034867,76.4261111271756,a
128.83858020854913,71.5632376233321,a
61.513321537952116,122.67579724708713,a
111.8060455232729,25.681097914709028,a
131.38826201528667,86.29520916000769,a
99.98398887418658,110.33443163695591,a
164.35786653411117,89.36941802590798,a
85.95202396014017,140.53110282584714,a
127.7408644135073,142.74261690358253,a
123.99928277021944,173.80639437534415,a
110.04179816950925,175.6440714735498,a
128.08520231019807,159.8674452558181,a
197.8233802673412,190.61471058005128,a
154.91129324022756,253.9450496621281,a
148.08015196276338,238.995972653369,a
187.36356772644564,270.3686459599536,a
213.44453046729998,289.30902816124535,a
185.3866326771205,255.6612561613498,a
243.50327641677393,330.6596226485862,a
236.2148958270653,337.1932506772223,a
228.36189993986727,323.32042520788116,a
297.805846304898,322.27996976553516,a
256.9944380616138,342.46504523017325,a
305.42002205092064,310.9960878354266,a
